Station_ID,Latitude,Longitude,Water_Depth,Deployment_Start,Threshold,Owner,dist
NZG,-23.3516,-173.4012,5742.0,2020-09-10T00:00:00.0,99,GNZ,3.35371225835
NZF,-29.6823,-175.0124,5059.0,2020-08-31T21:00:00.0,99,GNZ,9.11235486142
51425,-9.505,-176.26167,5000.0,2018-08-22T04:00:00.0,99,NDBC,11.0151371282
NZK,-24.3093,169.4988,2098.0,2021-07-15T00:00:00.0,99,GNZ,14.4739874434
NZL,-19.3096,166.782,3884.0,2021-07-12T00:00:00.0,99,GNZ,16.8205705406
NZJ,-26.6672,163.9549,1912.0,2021-07-09T00:00:00.0,99,GNZ,19.8846134756
52406,-5.37365,164.99097,1807.0,2019-10-08T12:00:00.0,99,NDBC,24.3214188486
51407,19.55578,-156.53592,4770.0,2019-10-28T23:00:00.0,99,NDBC,43.9650755126
52402,11.92593,153.90614,5887.0,2019-09-24T12:00:00.0,99,NDBC,44.2346271763
52403,4.05,145.58833,4480.0,2018-07-24T02:00:00.0,99,NDBC,45.4688282495
52401,19.23953,155.72929,5610.0,2019-09-22T07:00:00.0,99,NDBC,48.6634991631
21413,30.53333,152.13167,5880.0,2018-07-11T17:00:00.0,99,NDBC,59.666356954
52405,13.0335,132.15067,5900.0,2018-07-19T13:00:00.0,99,NDBC,61.48199966
52404,20.62727,132.14372,5992.0,2019-09-09T06:00:00.0,99,NDBC,65.6922842102
21418,38.72833,148.64999,5711.0,2019-08-30T02:00:00.0,99,NDBC,67.9651269428
46413,48.00167,-174.20166,5614.0,2016-07-10T03:15:00.0,30,NDBC,68.2757349476
21420,28.8906,135.0228,4858.0,2019-09-06T11:00:00.0,99,NDBC,68.6455963262
21414,48.96732,178.21223,5479.0,2019-08-18T10:00:00.0,99,NDBC,69.4685655892
21419,44.435,155.71666,5282.0,2018-06-20T02:00:00.0,99,NDBC,69.898147603
46408,49.64833,-169.88834,5415.0,2017-06-20T16:15:00.0,99,NDBC,70.0855209618
21416,48.12167,163.32834,5831.0,2018-06-18T04:00:00.0,99,NDBC,71.0050025659
21415,50.15,171.93333,4855.0,2019-08-22T22:00:00.0,99,NDBC,71.3075946871
46402,50.97833,-163.94833,4772.0,2019-08-13T13:00:00.0,99,NDBC,71.9562656307
46403,52.66833,-156.97,4537.0,2018-06-08T05:00:00.0,99,NDBC,74.6816396018
46411,39.33915,-127.07259,4325.0,2019-11-10T14:00:00.0,99,NDBC,74.8042907194
43412,16.03667,-106.975,3205.0,2018-01-31T10:40:00.0,99,NDBC,76.4417503498
46414,53.7255,-152.48334,4667.0,2018-06-07T05:00:00.0,99,NDBC,76.5970620069
46407,42.70834,-127.825,3269.0,2018-05-21T19:00:00.0,99,NDBC,76.7346891769
46404,45.84833,-128.77499,2762.0,2018-05-22T19:15:00.0,99,NDBC,78.4840907024
46409,55.32333,-148.55167,4224.0,2019-08-09T07:00:00.0,99,NDBC,78.9841902003
46416,49.9,-134.40712,3405.0,2019-07-29T05:00:00.0,99,NDBC,79.0084256188
46415,52.97467,-139.94034,3620.0,2018-09-27T20:00:00.0,99,NDBC,79.4433954823
32413,-7.40667,-93.51722,4018.0,2019-06-24T05:00:00.0,99,NDBC,79.9268424805
46419,48.8066,-129.62219,2795.0,2019-07-27T21:00:00.0,99,NDBC,80.2306756843
43413,11.005,-100.09667,3741.0,2018-02-03T22:55:19.0,30,NDBC,80.4430257159
46410,57.63233,-143.74966,3755.0,2019-08-02T22:00:00.0,99,NDBC,82.2664232072
32411,4.96,-90.875,3273.0,2018-02-07T09:08:52.0,99,NDBC,86.6868946196
32402,-26.73472,-73.9775,4050.0,2017-10-13T16:00:00.0,99,INTERNATIONAL,90.5820070295
23461,9.5,95.6,2500.0,2019-01-17T20:00:00.0,99,INTERNATIONAL,92.45234741
32401,-20.46861,-73.43278,4794.0,2017-10-11T18:00:00.0,99,INTERNATIONAL,93.5259693873
42409,25.85556,-89.2575,3200.0,2018-02-18T22:01:00.0,99,NDBC,95.5030054742
23401,8.86083,88.55806,3472.0,2017-10-12T09:00:00.0,99,INTERNATIONAL,98.7813177041
42407,15.29333,-68.18833,4500.0,2019-04-06T06:00:00.0,99,NDBC,111.144143195
41420,23.37,-67.5,5769.0,2019-04-27T02:00:00.0,99,NDBC,113.820534284
44402,39.28703,-70.63287,2644.0,2019-05-10T03:00:00.0,99,NDBC,113.982220516
41425,28.65167,-65.65166,5279.0,2018-03-18T08:06:09.0,30,NDBC,116.498284893
41421,23.42083,-63.79083,5845.0,2018-03-23T07:15:00.0,30,NDBC,117.161344089
44403,41.915,-61.59,4064.0,2019-05-15T01:00:00.0,99,NDBC,121.025850565
